4930521E06Rik,A530013C23Rik,Amotl1,Bcl7b,C2cd3,Cd209e,Cd248,Chga,Cldn34b3,Col9a2,Defb8,Eed,Gad2,Gdpd2,Gltscr2,Gm14964,Gm4847,Gm648,Gm8098,Gnaq,Gng11,Hhatl,Hsp90ab1,Hspa4l,Ighv9-4,Inppl1,Ins1,Lipt1,Map3k12,Neurog2,Olfr142,Ophn1,Palmd,Pcsk1n,Pef1,Pyurf,Rasef,Rbp3,Rgs3,Rhou,Rpl38,Rps17,Rps25,Slc12a4,Slc27a1,Slc2a13,Smarcd1,Sox30,Spanxn4,Spopl,Sssca1,Svs6,Tead1,Tmsb15b2,Tmsb15l,Tpst2
0,0,0.29369,0,0,0,0,0.29369,0,0.14842,0,0,0,0,0,0,0,0,0,0.80424,0,0,0.29369,0,0,0,4.57,0,0,0,0,0,0,0.29369,0,0,0,0,0,0.689,0.56527,0.56527,0.56527,0,0,0,0,0,0,0,0,0,0,0,0.14842,0.14842
0,0,0,0,0,0,0,1.1304,0,0,0,0,0,0,0,0,0,0,0,0.34014,0,0.17251,2.0037,0.34014,0,0.49913,0,0,0,0,0,0,0,1.4013,0,0,0,0,0,0,0.64732,0.49913,0.90953,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.18567,0,0,0,0,0,0,0,0,0,0.18567,0,0,0,0,0,0,0,0.3653,0,0,0,0,0,0,0,0,0.18567,0,0.69072,0,0,0,0,0,0,0.69072,0.18567,0.3653,0,0,0,0,0,0,0,0,0,0.18567,0,0,0.3653
0,0,0,0.51091,0,0,0,0.92787,0,0.17689,0,0,0,0,0,0,0,0,0,0.34852,0,0,1.6433,0.34852,0,0.17689,0,0,0,0,0,0,0.17689,0.17689,0,0,0,0,0,0,0.51091,1.0443,0.17689,0,0,0,0,0,0,0,0,0,0.17689,0,0,0
0,0,0.45771,0,0,0,0,0.1573,0,0,0,0,0,0,0,0,0,0,0,0.59591,0,0,1.2381,0,0,0,3.1802,0,0.1573,0,0,0,0,0.1573,0,0,0,0,0,0,0.45771,0.72466,0.31087,0,0,0,0,0,0,0,0,0,0,0,0,0.45771
0,0,0,0,0,0,0,0.67135,0,0,0,0,0.17976,0.17976,0,0,0,0,0,0,0,0,1.354,0.17976,0,0,0.51864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81159,0.51864,0.35403,0,0,0,0.51864,0,0,0.17976,0,0,0,0.35403,1.8411,0
0,0,0,0,0,0,0,0.86345,0,0.31948,0,0,0,0,0,0,0,0,0,0,0,0,1.4927,0,0,0,0,0,0.16176,0,0,0,0,0.31948,0.16176,0,0,0.16176,0.16176,0,0.16176,0.74228,0.61112,0,0,0,0.16176,0.16176,0,0.16176,0,0,0,0,0.31948,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16779,0,0,1.4538,0,0,1.0031,0,0,0,0,0,0,0.33107,0,0.16779,0,0,0,0.33107,0,0.63149,0.76581,0.88946,0,0,0,0,0,0,0,0,0,0,0,0,0.48633
0,0,0.188,0,0,0,0,0.36973,0,0,0,0,0,0,0.188,0,0,0,0,0.188,0,0,1.8265,0.188,0,0,0,0,0,0,0,0,0,0.188,0,0,0,0,0,0,0.188,0.84233,0.36973,0,0,0,0,0,0,0.36973,0,0,0.36973,0,0,0
0,0,0,0,0,0,0,1.4882,0,0.34347,0,0,0,0,0.34347,0,0,0,0,0.34347,0,0,2.0584,0.17425,0,0.34347,0,0,0.17425,0,0,0,0,1.0325,0.17425,0,0,0,0,0,0,1.0325,0.17425,0,0,0,0,0,0,0,0,0,0,0,0,0.17425
0,0.17903,0.17903,0.17903,0,0,0,0.35262,0,0.51666,0,0,0.17903,0,0.17903,0,0,0,0,0.17903,0.17903,0,1.5129,0,0,0.17903,1.1609,0,0.17903,0,0,0,0,0,0,0,0,0.17903,0,0,0.35262,1.2595,0.35262,0,0,0,0.17903,0,0,0,0,0,0.35262,0,0.17903,0
0,0,0.17534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34557,0,0,1.4159,0.17534,0,0,0,0,0.17534,0,0,0,0,0.17534,0,0,0,0,0,0,0.17534,0.50676,0,0,0,0,0,0,0,0,0,0,0,0.17534,0,0
0,0,0.1807,0,0.1807,0,0,0.52115,0,0,0,0,0.1807,0,0.1807,0,0,0,0,0.35582,0,0,1.3586,0,0,0.1807,2.0018,0,0.35582,0,0,0.1807,0,0.81512,0,0,0,0,0,0,0.67444,1.0611,0.1807,0,0,0,0.52115,0,0,0,0,0,0,0.1807,0.52115,0.52115
0,0,0,0,0,0,0,1.4242,0,0.38203,0,0,0,0,0,0,0,0,0,0.19447,0,0,1.5099,0,0,0,0.55772,0,0,0,0,0,0,0.86607,0,0,0,0,0,0,0.71916,0.19447,0.55772,0,0,0,0,0,0,0.38203,0,0,0,0,0.19447,0
0,0,0.18421,0.36252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18421,0,0,1.6814,0,0,0.68594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82827,1.5392,0.53052,0.18421,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.85258,0,0.37502,0,0,0,0,0,0,0,0,0,0.19078,0,0,0.98464,0,0,0,4.2189,0,0,0,0,0,0,0.54798,0,0.19078,0,0,0,0,0.54798,0.98464,0.54798,0,0.19078,0,0,0,0,0,0,0,0.19078,0,0.19078,0
0,0,0.34457,0,0,0,0,0.50536,0,0,0,0,0.17482,0,0,0,0,0,0,0,0,0,1.564,0.65501,0,0,0,0,0.17482,0,0,0.34457,0,0,0,0,0,0,0,0.17482,0.17482,0.34457,0.65501,0,0,0.17482,0,0,0,0,0.17482,0,0,0.17482,0.17482,0
0,0,0.17673,0,0,0,0,0,0,0.66133,0,0,0,0,0,0,0,0,0,0,0,0,2.0722,0,0,0,0,0,0,0,0,0,0,0,0,0.17673,0,0,0.17673,0,0.17673,1.0436,0.80011,0,0,0,0.17673,0,0,0,0,0,0,0,0,0
0,0,0.18119,0,0,0,0,1.1709,0,0.18119,0,0,0.18119,0,0.18119,0,0,0,0,0.52245,0,0,1.0633,0.18119,0,0,0.18119,0,0,0,0,0,0,0.67604,0,0,0,0.18119,0.18119,0,0.35675,0.18119,0.18119,0,0,0,0,0,0,0,0.18119,0,0,0.67604,1.1709,0.18119
0,0,0,0,0,0,0,0.69386,0,0.18664,0,0,0.18664,0,0,0,0,0,0,0,0,0,1.3873,0,0,0.18664,0,0,0.36714,0,0,0,0,0.18664,0,0,0,0,0,0,0.18664,0.53699,0.69386,0,0,0,0,0,0,0,0,0,0.36714,0,0,0
0,0,0,0.19686,0,0,0,0.72684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56403,0,0,0.19686,4.0305,0,0.19686,0,0,0.19686,0,0,0,0,0,0,0,0,0.72684,0.38657,0.38657,0,0,0,0,0,0,0,0,0,0,0,0,0
