1700013H16Rik,4930570D08Rik,4930579C12Rik,Adap1,Adsl,Anp32e,Asb13,Caln1,Ccnyl1,Chga,Cpne4,Cyp2d10,Dnajb1,En1,Eno1,F830016B08Rik,Fam83d,Gas8,Gcfc2,Gm10230,Gm10642,Gm11832,Gm12907,Gm13944,Gm15922,Gm16564,Gm17508,Gm26542,Gm26877,Gm28154,Gnaq,Gng2,Hacl1,Hcar1,Iah1,Inppl1,Ins1,Irs4,Kirrel3os,Klk8,Krt87,Lilra6,Lmtk2,Lonrf3,Marcks,Mdh2,Mob3b,Myh6,Nat8f1,Neurog2,Noto,Olfr1006,Olfr1290,Olfr612,Olig2,Pdzd2,Podn,Ppia,Ppp1r13l,Ppp1r14a,Prss44,Ptprc,Rbp3,Rcor1,Rpl22l1,Sox17,Sssca1,Tbx19,Tceal5,Tead1,Tgtp2,Tnc,Top3b,Zbtb17
0,0,0,0,0,0,0,0,0,0.16615,0.16615,0,0,0,0,0,0,0,0,0,0,0.16615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8713,0,0,0,0,0,0.32793,0,0.75945,0.16615,0,0,0,0,0,0,0,0,0,0,0,0.48188,0,0,0,0,0,0,0.48188,0,0,0.16615,0,0.16615,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.16569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32703,0,1.7062,0.32703,0,0,0,0,0,0,0,0,0,0,0.32703,1.1937,0,0,0.16569,0,0,0.16569,0.62441,0,0,0,0,0.75763,0,0,0.16569,0
0,0,0,0,0,0.75414,0,0,0,0,0,0,0.16479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3253,0.87657,0,0,0,0,0,0,0,0.16479,0,0,0,0,0,0.62138,0.16479,0,0,0,0,0,0,0,0,0,0,0,0.98929,0,0,0,0,0.16479,0.16479,0,0,0.16479,0,0,0.16479,0,0,0,0
0,0,0,0,0,0,0,0,0,0.16618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62607,0.16618,0,0,0,0,0,0,0,0,0,0.16618,0.16618,0.88255,0,0,0,0.16618,0,0.16618,0,0,0,0,0,0.16618,0,0,0,0
0,0,0,0,0,0,0,0,0,0.17359,0.3422,0,0.17359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17359,0,0,0,0,0,0,0,0,0.65089,0,0,0,0,0,0,0,0.50202,0,0,0,0,0,0,0,0,0,0,0,0,0.17359,0,0,0,0,0,0,0.50202,0,0.17359,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.16482,0,0,0,0,0,0.32536,0,0.16482,0,0,0,0,0,0,0,0,0,0,0,0,0.16482,0.47825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32536,0.16482,0,0,0,0,0,0,0,0,0,0,0,1.4377,0,0,0,0.32536,0,0,0.16482,0,0,0,0,0.87668,0,0,0,0
0,0,0,0,0,0,0.15528,0,0,0.71662,0,0,0.45216,0,0,0,0,0.15528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15528,0,1.5225,0,0,0,0.30697,0,0,0.30697,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.17593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17593,0,0,0,0,0.92386,0,0.17593,0,0,0,0,0,0,0,0,0,0,0.92386,0,0,0,0.17593,0,0,0,0,0,0,0,0.17593,0,0,0,0.17593
0,0,0,0,0,0,0,0,0,0.61361,0,0,0.1625,0.1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61361,0,0,0,0.1625,0,0,0,0,0.47192,0.32089,0,0,0,0,0,0,0,0,0,0,0,1.4249,0,0,0,0,0,0.32089,0,0,0,0,0,0,0,0,0,0
0.1643,0,0,0,0,0.1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1643,0,0,0,0.1643,0,4.0039,0,0,0,0,0,0.47685,0,0,0.32437,0,0,0,0,0.1643,0,0,0,0,0,0,0.61974,0,0,0,0,0,0,0.1643,0,0.1643,0,0,0.1643,0,0,0,0.1643
0,0,0,0,0,0,0,0.17386,0.17386,0.65179,0.17386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17386,0,0,0,0,0.34272,0.34272,0,0,0,0,2.7593,0,0,0,0,0,0,0,0.65179,0,0,0,0,0.17386,0,0,0,0,0,0,0,0.65179,0,0,0.17386,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.17976,0,0.35403,0,0,0,0,0,0.35403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35403,0,0,0,0,0,0,0,0,0.17976,0,0,0,0,0.35403,0,0,0,0,0,0,0,0,0,0,0.17976,0,0.81159,0,0,0,0,0,0.17976,0.17976,0,0,0,0,0.17976,0,0,0.35403,0
0,0,0,0,0,0,0,0,0,0.81612,0,0,0,0,0.29879,0.15105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15105,0.29879,0,0,0,0,0.15105,3.3407,0.29879,0,0,0,0,0,0,0.15105,0.29879,0,0,0,0,0,0,0,0,0,0,0,0.81612,0,0,0,0.29879,0,0.4405,0.15105,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.17504,2.3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17504,0.34498,0,0,0,0,0,0,0.17504,0,0,0,0,0,0,0.65572,0,0,0,0,0,0,0,0,0,0,0,0,0.50594,0,0,0,0,0,0,0.50594,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.0352,0,0,0,0,0,0,0,0.50544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17485,0.17485,0,0,0,0,0,0,0,0,0,0,0.79298,0,0,0,0,0,0.34463,0.17485,0,0.17485,0,0,0,0,0,0,0
0,0,0,0,0,0,0.18584,0,0.18584,0.18584,0,0,0,0,0.18584,0.18584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18584,0.69128,0.18584,0,0,0,0,0,0.18584,0.18584,0,0,0,0,0,0,0,0,0,0,0,0.18584,0.53488,0,0,0,0.18584,0,0,0,0,0,0,0,0,0,0.18584,0,0.18584
0,0,0,0,0,0.66133,0,0,0,0.34822,0,0,0,0,0,0.17673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17673,0,0.17673,0,0,0,0,0,0,0,0,0,0,0.34822,0,0.51049,0.34822,0.17673,0,0,0,0,0,0,0,0,0,0,0.51049,0.17673,0,0,0.17673,0,0.51049,0,0,0,0,0,0.17673,0,0,0,0
0,0,0,0,0,0.18181,0,0,0,0.67809,0.18181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35794,0,0,0,0,0.35794,0.18181,0,0,0,0,0,0,0,0.52412,0,0,0.18181,0,0,0,0,0,0,0,0,0,0.94825,0,0,0,0,0,0.18181,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.18224,0,0.18224,0,1.0679,0,0,0,0,0,0.18224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3661,0,0,0,0,0,0.18224,0,0,0,0,0,0,0.95001,0,0,0,0.18224,0,0,0,0,0.18224,0,0,0,0,0.18224,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19598,0,0,0,0,0,0,0,0,0,0,0.19598,0,0,0,0,0.72402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87158,0,0,0,0,0,0,0,0,0,0.19598,0.19598,0,0.19598,0,0,0.19598,0.19598,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.17957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17957,0.51812,0,0,0.17957,0,0,0,0,0,0,0,0,0,0.17957,0,0.17957,0,0,0,0.51812,0,0,0,0,0,0.35366,0,0.17957,0,0
0,0,0,0,0,0.16926,0,0.16926,0.3339,0.3339,0,0,0,0.16926,0,0.16926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16926,0,0,0,0,0,0,0,0,0,0,0,0.49032,0,0.49032,0.3339,0,0,0,0,0,0,0,0,0,0.16926,0,1.5342,0.16926,0,0,0,0,0.16926,0.16926,0,0,0,0,0.16926,0,0.16926,0,0
0,0,0,0,0,0.75662,0,0.40435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20626,0,0,0.20626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40435,0,0,0,0,0,0,0,0,0,0,0,0,1.0453,0,0,0,0.40435,0,0.20626,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.18814,0,0,0,0,0.69874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69874,0.18814,0,0,0,0,0,0,0,0,0,0,0,1.2025,0,0,0,0,0.18814,0.18814,0,0,0,0,0,0,0,0,0,0
